roll_no,name,email,department
1U25CA001,Arun Kumar,arun001@rvscas.ac.in,BCA
1U25CA002,Vijay Raj,vijay002@rvscas.ac.in,BCA
1U25CA003,Karthik S,karthik003@rvscas.ac.in,BCA
1U25CA004,Praveen Kumar,praveen004@rvscas.ac.in,BCA
1U25CA005,Ajith Kumar,ajith005@rvscas.ac.in,BCA
1U25CA006,Dinesh R,dinesh006@rvscas.ac.in,BCA
1U25CA007,Naveen Kumar,naveen007@rvscas.ac.in,BCA
1U25CA008,Sanjay M,sanjay008@rvscas.ac.in,BCA
1U25CA009,Vignesh K,vignesh009@rvscas.ac.in,BCA
1U25CA010,Rohit P,rohit010@rvscas.ac.in,BCA
